Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,22.657763,15.105635,62.496316
1.000000,37.059946,8.028379,62.546864
2.000000,41.853391,8.835719,67.529913
3.000000,46.249391,8.896117,67.529913
4.000000,50.693297,6.679314,67.529913
5.000000,53.336513,5.886689,64.283430
6.000000,56.777027,4.244417,66.630403
7.000000,58.831483,2.910273,66.630403
8.000000,60.221081,2.612934,69.673178
9.000000,61.175958,3.055961,71.328165
10.000000,61.718871,2.986997,69.457770
11.000000,62.119666,3.356160,69.448466
12.000000,63.042482,3.029539,71.460165
13.000000,64.319794,2.967331,71.460165
14.000000,64.294891,2.428744,69.467403
15.000000,64.214518,2.517808,69.467403
16.000000,63.405568,2.397856,69.358280
17.000000,63.623109,1.935828,69.468978
18.000000,63.687481,2.282653,69.418761
19.000000,64.816328,1.904784,71.302446
20.000000,64.985764,2.137775,70.375116
21.000000,64.920138,2.544419,71.429981
22.000000,64.856667,2.465223,71.429981
23.000000,64.203331,2.292548,70.375116
24.000000,64.817188,2.351447,70.375116
25.000000,64.104184,2.682029,71.424165
26.000000,64.461965,2.752437,71.505202
27.000000,65.456393,2.512254,71.505202
28.000000,65.214716,2.423113,71.505202
29.000000,65.390005,2.523951,70.451488
