Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,57.076705,36.023549,93.929516
1.000000,91.513983,1.029804,93.055480
2.000000,92.467958,0.314431,94.163558
3.000000,92.579472,0.414290,94.163558
4.000000,92.646028,0.495262,94.343558
5.000000,92.688056,0.463511,94.154024
6.000000,92.758900,0.516984,94.278708
7.000000,92.818450,0.521354,94.480945
8.000000,92.896793,0.495787,94.278708
9.000000,93.079592,0.521638,94.300945
10.000000,93.174616,0.560217,94.414253
11.000000,93.368395,0.448783,94.414253
12.000000,93.270999,0.599902,94.468891
13.000000,93.415097,0.551987,94.468891
14.000000,93.609264,0.460874,94.462788
15.000000,93.609552,0.530787,94.588891
16.000000,93.799837,0.470770,94.798596
17.000000,93.811868,0.490980,94.798596
18.000000,93.790436,0.450986,94.612404
19.000000,93.852172,0.434270,94.618596
20.000000,93.730945,0.507395,94.792506
21.000000,93.858138,0.370553,94.792506
22.000000,93.953462,0.373858,94.744826
23.000000,93.962049,0.352010,94.702788
24.000000,94.036116,0.360829,94.762788
25.000000,94.047370,0.380262,94.762788
26.000000,94.134631,0.331926,94.762788
27.000000,94.091446,0.338260,94.678596
28.000000,94.153920,0.373541,94.762788
29.000000,94.280598,0.254131,94.822788
