Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,7.174759,17.409295,56.601405
1.000000,17.778832,19.660073,56.601405
2.000000,33.216168,20.239221,64.493408
3.000000,40.148655,17.326671,74.832484
4.000000,42.528335,18.033175,83.835281
5.000000,48.454530,19.291729,83.835281
6.000000,52.023126,20.382731,83.835281
7.000000,54.144524,23.168823,83.835281
8.000000,57.993538,20.995489,83.835281
9.000000,61.926475,18.361996,83.835281
10.000000,62.578444,17.352111,83.835281
11.000000,64.070348,17.341656,83.835281
12.000000,65.216900,16.176798,83.835281
13.000000,66.041926,15.324818,83.835281
14.000000,66.924417,14.357978,83.835281
15.000000,68.176571,13.010866,83.835281
16.000000,70.460946,12.257267,83.835281
17.000000,67.330738,17.093335,83.835281
18.000000,72.248108,10.207371,83.835281
19.000000,74.099736,7.530006,83.835281
20.000000,74.806431,6.340255,83.835281
21.000000,75.025251,6.412353,87.957733
22.000000,75.550261,6.894281,87.957733
23.000000,76.031700,7.248805,87.957733
24.000000,76.820465,7.867070,87.957733
25.000000,77.737982,8.242376,87.957733
26.000000,76.317959,11.006225,87.957733
27.000000,77.991081,9.051232,87.957733
28.000000,76.809930,9.604860,87.957733
29.000000,77.788756,8.901587,87.957733
