Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,39.306110,37.229323,89.116415
1.000000,81.898473,13.571503,90.206611
2.000000,87.411419,0.717628,90.206611
3.000000,87.601048,0.921046,90.206611
4.000000,88.033281,1.173668,90.639556
5.000000,88.366624,1.222446,90.682972
6.000000,89.399125,0.696887,90.682972
7.000000,89.791513,0.440432,90.639556
8.000000,90.075557,0.393274,91.317582
9.000000,90.317976,0.184074,90.639556
10.000000,90.385670,0.203380,90.742972
11.000000,90.609132,0.080029,90.759556
12.000000,90.659956,0.042613,90.759556
13.000000,90.699556,0.056921,90.819556
14.000000,90.767956,0.022482,90.879556
15.000000,90.785356,0.034211,90.879556
16.000000,90.830356,0.029856,90.939556
17.000000,90.851956,0.031084,90.939556
18.000000,90.881062,0.008892,90.939556
19.000000,90.882229,0.011929,90.939556
20.000000,90.888139,0.021867,90.970119
21.000000,90.896566,0.027231,90.970119
22.000000,90.912723,0.029371,90.970119
23.000000,90.940756,0.007595,90.970119
24.000000,90.942677,0.008894,90.970119
25.000000,90.943220,0.009494,90.970119
26.000000,90.945256,0.011424,90.970119
27.000000,90.951158,0.013956,90.970119
28.000000,90.961437,0.012048,90.970119
29.000000,90.969086,0.001577,90.970119
