Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,-3.592744,4.101099,17.621780
1.000000,-0.449979,5.378563,16.374182
2.000000,4.011356,6.232463,20.923698
3.000000,9.129068,5.428936,18.701675
4.000000,14.689258,2.039591,26.728541
5.000000,15.522651,2.527928,24.435701
6.000000,16.546770,2.499022,24.435701
7.000000,17.718361,3.066428,28.944247
8.000000,17.548926,3.227828,28.944247
9.000000,18.819700,3.282001,28.720958
10.000000,19.269350,3.364332,32.568865
11.000000,18.872983,4.082553,32.581712
12.000000,19.476438,4.411757,40.942706
13.000000,21.230615,4.138784,40.942706
14.000000,21.294124,3.801792,36.145716
15.000000,22.285479,4.904658,36.145716
16.000000,24.663798,4.382166,40.989134
17.000000,26.214912,5.324365,40.691403
18.000000,27.162118,6.328904,47.699217
19.000000,29.178363,7.236894,47.699217
20.000000,32.329695,6.901998,51.359063
21.000000,33.329839,7.166284,51.359063
22.000000,36.137590,6.113520,51.359063
23.000000,37.181088,7.544968,57.721303
24.000000,39.829956,6.930027,57.721303
25.000000,43.787194,5.556405,58.520173
26.000000,45.721505,4.933010,58.520173
27.000000,48.541910,5.281311,67.360490
28.000000,49.587939,4.520554,58.520173
29.000000,49.489848,5.099978,60.715647
