Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,48.175472,40.234582,93.486278
1.000000,89.875876,2.051171,94.017310
2.000000,91.576854,1.057443,94.398358
3.000000,92.419844,0.575436,94.017310
4.000000,92.636770,0.483795,94.017310
5.000000,92.639366,0.493588,94.017310
6.000000,92.669549,0.534438,94.017310
7.000000,92.628908,0.469718,94.017310
8.000000,92.713653,0.535034,94.017310
9.000000,92.803182,0.588302,94.017310
10.000000,92.932504,0.622299,94.017310
11.000000,93.013148,0.619372,94.017310
12.000000,93.059642,0.637471,94.017310
13.000000,93.380093,0.528431,94.017310
14.000000,93.615847,0.451878,94.067000
15.000000,93.642737,0.457908,94.187000
16.000000,93.706706,0.420447,94.187000
17.000000,93.782242,0.395974,94.187000
18.000000,93.670265,0.490782,94.187000
19.000000,93.878633,0.207807,94.187000
20.000000,93.770480,0.402056,94.187000
21.000000,93.915544,0.206604,94.187000
22.000000,93.706391,0.454114,94.187000
23.000000,93.755818,0.402033,94.127000
24.000000,93.719002,0.434388,94.127000
25.000000,93.506423,0.552316,94.127000
26.000000,93.620694,0.511862,94.127000
27.000000,93.678436,0.468819,94.127000
28.000000,93.771290,0.378765,94.127000
29.000000,93.773961,0.403430,94.187000
