Generation,Mean_Fitness,Std_Fitness,Best_Fitness
0.000000,-2.439736,6.115175,27.279799
1.000000,4.203449,8.770095,33.829472
2.000000,7.297206,8.103915,33.829472
3.000000,7.526666,7.374299,33.829472
4.000000,6.087451,8.293516,33.829472
5.000000,3.102616,8.126191,33.829472
6.000000,1.529750,7.433954,37.103184
7.000000,4.388430,10.736275,49.625622
8.000000,24.534891,21.011302,49.625622
9.000000,33.570130,14.892388,49.625622
10.000000,28.806460,17.273720,49.625622
11.000000,31.192565,18.359325,49.625622
12.000000,30.463870,17.728589,49.625622
13.000000,25.710584,16.780168,50.110190
14.000000,29.751437,18.858740,50.110190
15.000000,35.990287,19.447746,52.352532
16.000000,33.185715,19.059428,52.352532
17.000000,29.443097,17.746689,52.352532
18.000000,26.731773,20.985332,54.370959
19.000000,28.250166,19.536200,56.803933
20.000000,23.280227,19.664174,56.803933
21.000000,27.634821,22.648614,56.803933
22.000000,33.209121,22.303101,56.803933
23.000000,39.695426,18.736320,56.803933
24.000000,40.024868,18.785057,56.803933
25.000000,40.205160,18.805587,56.803933
26.000000,38.674096,19.483271,56.803933
27.000000,38.920234,18.112431,56.922292
28.000000,44.571106,10.016118,56.922292
29.000000,42.565191,10.128578,56.922292
